what,kind,bundleId,bundleVersion,description,time
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932681217
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932681267
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932683239
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932683239
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932692223
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932692850
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932692907
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932721115
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932721597
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932721646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352932737977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932740590
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1352932743997
error,log,,,"Errors occurred during the build.",1352932744003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933457449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933460512
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933651436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933655935
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933707761
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352933720160
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352933729647
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352933744551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933746199
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1352933751866
error,log,,,"Errors occurred during the build.",1352933751871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933903494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933904613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933905758
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352933916794
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352933923561
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933923650
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933924853
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933925794
closed,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352933925795
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933927166
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933928281
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352933929171
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352933929171
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352933963925
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352933963993
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352933975508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352933977737
