what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015110289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015111950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353015113133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015114793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015138010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353015141945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015144414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015155467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353015161916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015164618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015205917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015207660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015208159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015208857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015209596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015210075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015210733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015211473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015212046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015212575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015213040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015213776
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015214795
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015215372
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353015215917
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015298726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015325773
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015359902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015361198
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015361361
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015361428
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015389079
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353015400539
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353015400867
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015418133
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353015462173
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015462618
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015462672
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015490324
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015500550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015623263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015726118
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015740747
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015798507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015856299
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015857657
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353015863109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353015917598
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353015919943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353016041889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353016047591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353016224053
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353016242575
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353016249910
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353016270355
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1353016272515
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1353016272885
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353016273122
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1353016273323
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353016273532
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353016279506
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353016283516
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353016312533
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353016325151
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353016350932
