what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1353965733634
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1353965733685
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1353965733734
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1353965733783
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1353965733826
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1353965733864
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1353965733905
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1353965733932
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1353965733957
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1353965734018
started,bundle,org.eclipse.xtext,2.3.0.v201206120633,"org.eclipse.xtext",1353965734060
started,bundle,org.eclipse.xtext.builder,2.3.0.v201206120633,"org.eclipse.xtext.builder",1353965734109
started,bundle,org.eclipse.xtext.common.types,2.3.0.v201206120633,"org.eclipse.xtext.common.types",1353965734154
started,bundle,org.eclipse.xtext.ui,2.3.0.v201206120633,"org.eclipse.xtext.ui",1353965734204
started,bundle,org.eclipse.xtext.ui.codetemplates,2.3.0.v201206120633,"org.eclipse.xtext.ui.codetemplates",1353965734227
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.3.0.v201206120633,"org.eclipse.xtext.ui.codetemplates.ui",1353965734252
started,bundle,org.eclipse.xtext.ui.shared,2.3.0.v201206120633,"org.eclipse.xtext.ui.shared",1353965734269
started,bundle,csep.ui,0.2.2,"csep.ui",1353965734271
os,sysinfo,,,"macosx",1353965734274
arch,sysinfo,,,"x86_64",1353965734274
ws,sysinfo,,,"cocoa",1353965734274
locale,sysinfo,,,"en_US",1353965734274
processors,sysinfo,,,"2",1353965734274
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353965734274
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1353965734274
java.specification.name,sysinfo,,,"Java Platform API Specification",1353965734274
