what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353020912995
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353020914483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353020950646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353020952654
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1353021078267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021078391
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021085994
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021098231
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353021103897
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353021106859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353021111083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021112911
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1353021192045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021192143
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021197269
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353021210161
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021213040
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1353021249017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021249217
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021259368
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353021264240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021295316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021310253
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021311535
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021323761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1353021342675
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021343853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1353021347624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1353021356337
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021359618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021389641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021395071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1353021395114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021413792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021414799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021420872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021433299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021433801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021433908
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021433983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434101
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434172
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434274
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434433
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434759
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021434902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435077
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435136
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435548
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021435950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021436061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021436122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021436194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021436210
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353021454581
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353021457298
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021461913
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021464924
error,log,,,"Error refreshing outline",1353021470375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021470572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353021472521
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021475108
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353021478685
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021481454
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021481959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021482003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021482082
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021482192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1353021482251
