what,kind,bundleId,bundleVersion,description,time
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942512390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942513244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942514881
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1352942518441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1352942519965
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942527366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942528827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942530700
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942531971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942533903
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1352942535361
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942536893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942537844
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942538713
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942546277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352942563385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942575354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010673254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010675581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010684347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010685486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010690885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353010693475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011020073
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011053409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011450372
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1353011453838
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1353011453881
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1353011454083
started,bundle,org.eclipse.xtext.xbase.ui,2.3.0.v201206120633,"org.eclipse.xtext.xbase.ui",1353011454100
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1353011454171
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1353011454180
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1353011454230
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1353011454252
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1353011454282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011461628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011466075
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011473621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011475192
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1353011475378
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353011475661
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1353011476484
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1353011476484
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1353011476484
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1353011476485
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1353011476485
stopped,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1353011476485
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1353011476486
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1353011476486
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1353011476487
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.0.v201004290328,"org.eclipse.wst.xml.xpath.ui",1353011476487
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1353011476489
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1353011476490
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1353011476490
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1353011476491
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1353011476491
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.300.v201004150600,"org.eclipse.wst.jsdt.support.firefox",1353011476519
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1353011476520
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1353011476520
stopped,bundle,org.eclipse.xtend.ide,2.3.0.v201206120633,"org.eclipse.xtend.ide",1353011476520
stopped,bundle,org.eclipse.xtext.common.types.shared,2.3.0.v201206120633,"org.eclipse.xtext.common.types.shared",1353011476608
stopped,bundle,org.eclipse.xtext.purexbase.ui,2.3.0.v201206120633,"org.eclipse.xtext.purexbase.ui",1353011476661
stopped,bundle,org.eclipse.xtext.xbase.ui,2.3.0.v201206120633,"org.eclipse.xtext.xbase.ui",1353011476661
stopped,bundle,org.eclipse.xtext.xtext.ui,2.3.0.v201206120633,"org.eclipse.xtext.xtext.ui",1353011476662
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1353011476662
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1353011476662
stopped,bundle,org.eclipse.xtend.core,2.3.0.v201206120633,"org.eclipse.xtend.core",1353011476686
stopped,bundle,org.eclipse.xtext.purexbase,2.3.0.v201206120633,"org.eclipse.xtext.purexbase",1353011476721
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1353011957061
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1353011957062
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1353011957180
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1353011957244
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1353011957312
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1353011957361
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1353011957470
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1353011957517
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1353011957575
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1353011957661
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1353011957679
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1353011957753
